iteration,n10,n20,n30,n50,n100
103,85.612630,48.721878,49.186607,51.026901,55.097135
104,85.612630,48.721878,49.186607,51.026901,55.097135
105,85.612630,48.721878,49.186607,51.026901,55.097135
106,85.612630,48.721878,49.186607,51.026901,55.097135
107,85.612630,48.721878,49.186607,51.026901,55.097135
108,85.612630,48.721878,45.433716,51.026901,55.097135
109,85.612630,48.721878,45.433716,51.026901,55.097135
110,85.612630,48.721878,45.433716,51.026901,55.097135
111,85.612630,48.721878,45.433716,51.026901,55.097135
112,85.612630,48.721878,45.433716,51.026901,55.097135
113,85.612630,48.721878,45.433716,51.026901,55.097135
114,85.612630,48.721878,45.433716,51.026901,55.097135
115,85.612630,48.721878,45.433716,51.026901,55.097135
116,85.612630,48.721878,45.433716,51.026901,55.097135
117,85.612630,48.721878,45.433716,51.026901,55.097135
118,85.612630,48.721878,45.433716,51.026901,55.097135
119,85.612630,48.721878,45.433716,51.026901,55.097135
120,81.481914,48.721878,45.433716,51.026901,55.097135
121,81.481914,48.721878,45.433716,51.026901,55.097135
122,81.481914,48.721878,45.433716,51.026901,55.097135
123,81.481914,48.721878,45.433716,51.026901,55.097135
124,81.481914,48.721878,45.433716,51.026901,55.097135
125,81.481914,48.721878,45.433716,51.026901,55.097135
126,81.481914,48.721878,45.433716,51.026901,55.097135
127,81.481914,48.721878,45.433716,51.026901,55.097135
128,81.481914,48.721878,44.619115,51.026901,55.097135
129,81.481914,48.721878,44.619115,51.026901,55.097135
130,81.481914,48.721878,44.619115,51.026901,55.097135
131,81.290047,48.721878,44.619115,51.026901,55.097135
132,81.290047,48.721878,44.619115,51.026901,55.097135
133,81.290047,48.721878,44.619115,51.026901,55.097135
134,81.290047,48.721878,44.619115,51.026901,55.097135
135,81.290047,48.721878,44.619115,51.026901,55.097135
136,81.290047,48.721878,44.619115,51.026901,55.097135
137,81.290047,48.721878,44.619115,51.026901,55.097135
138,81.290047,48.721878,44.619115,51.026901,55.097135
139,81.290047,48.721878,44.619115,51.026901,55.097135
140,81.290047,48.721878,44.619115,51.026901,55.097135
141,81.290047,48.721878,44.619115,51.026901,55.097135
142,81.290047,48.721878,44.619115,51.026901,55.097135
143,81.290047,48.721878,44.619115,51.026901,55.097135
144,81.290047,48.721878,44.619115,51.026901,55.097135
145,81.290047,48.721878,44.619115,51.026901,55.097135
146,81.290047,48.721878,44.619115,51.026901,55.097135
147,81.290047,48.721878,44.619115,51.026901,55.097135
148,81.290047,48.721878,44.619115,51.026901,55.097135
149,81.290047,48.721878,44.619115,51.026901,55.097135
150,81.290047,48.721878,44.619115,51.026901,55.097135
151,81.290047,48.721878,44.619115,51.026901,55.097135
152,81.290047,48.721878,44.619115,51.026901,55.097135
153,81.290047,48.721878,44.619115,51.026901,55.097135
154,81.290047,48.721878,44.619115,51.026901,55.097135
155,81.290047,48.721878,44.619115,51.026901,55.097135
156,81.290047,48.721878,44.619115,51.026901,55.097135
157,81.290047,48.721878,44.619115,51.026901,55.097135
158,81.290047,48.721878,44.619115,51.026901,55.097135
159,81.290047,48.721878,44.619115,51.026901,55.097135
160,81.290047,48.721878,44.619115,51.026901,55.097135
161,81.290047,48.721878,44.619115,51.026901,55.097135
162,81.290047,48.721878,44.619115,51.026901,55.097135
163,81.290047,48.721878,44.619115,51.026901,55.097135
164,81.290047,48.721878,44.619115,51.026901,55.097135
165,81.290047,48.721878,44.619115,51.026901,55.097135
166,81.290047,48.721878,44.619115,51.026901,55.097135
167,81.290047,48.721878,44.619115,51.026901,55.097135
168,81.290047,48.721878,44.619115,51.026901,55.097135
169,81.290047,48.721878,44.619115,51.026901,55.097135
170,81.290047,48.721878,44.619115,51.026901,55.097135
171,81.290047,48.721878,44.619115,51.026901,51.524299
172,81.290047,48.721878,44.619115,51.026901,51.524299
173,81.290047,48.721878,44.619115,51.026901,51.524299
174,81.290047,48.721878,44.619115,51.026901,51.524299
175,81.290047,48.721878,44.619115,51.026901,51.524299
176,81.290047,48.721878,44.619115,51.026901,51.524299
177,81.290047,48.721878,44.619115,51.026901,51.524299
178,81.290047,48.721878,44.619115,51.026901,51.524299
179,81.290047,48.721878,44.619115,51.026901,51.524299
180,81.290047,48.721878,44.619115,51.026901,51.524299
181,81.290047,48.721878,44.619115,51.026901,51.524299
182,81.290047,48.721878,44.619115,51.026901,51.524299
183,81.290047,48.721878,44.619115,51.026901,51.524299
184,81.290047,48.721878,44.619115,51.026901,51.524299
185,81.290047,48.721878,44.619115,51.026901,51.524299
186,81.290047,48.721878,44.619115,51.026901,51.524299
187,81.290047,48.721878,44.619115,51.026901,51.524299
188,81.290047,48.721878,44.619115,51.026901,45.963725
189,81.290047,48.721878,44.619115,51.026901,45.963725
190,81.290047,48.721878,44.619115,51.026901,45.963725
191,81.290047,48.721878,44.619115,51.026901,33.318373
192,81.290047,48.721878,44.619115,51.026901,33.318373
193,81.290047,48.721878,44.619115,51.026901,33.318373
